volume,vw,open,close,high,low,timestamp,n
3187466.0,457.8498,457.46,458.64,458.67,457.21,2023-12-08 14:30:00,29951
2918216.0,458.3797,458.65,458.2,458.74,457.94,2023-12-08 14:45:00,24852
3995086.0,459.3841,458.6,459.92,459.94,458.22,2023-12-08 15:00:00,44392
2984409.0,460.1046,459.92,459.86,460.42,459.79,2023-12-08 15:15:00,25203
2949117.0,459.0619,459.86,458.94,459.97,458.58,2023-12-08 15:30:00,24074
2075762.0,459.4826,458.93,460.01,460.06,458.755,2023-12-08 15:45:00,19406
2527134.0,459.254,460.02,458.94,460.11,458.75,2023-12-08 16:00:00,20410
3873276.0,458.711,458.94,458.69,458.9501,458.21,2023-12-08 16:15:00,24285
2153811.0,458.3204,458.7025,458.045,458.94,457.84,2023-12-08 16:30:00,19445
1772995.0,458.1807,458.055,458.24,458.46,457.885,2023-12-08 16:45:00,14150
1294497.0,458.1579,458.24,457.78,458.455,457.76,2023-12-08 17:00:00,11439
1534581.0,458.3921,457.79,458.8,458.92,457.535,2023-12-08 17:15:00,14380
1315393.0,458.7137,458.8,458.91,459.0105,458.57,2023-12-08 17:30:00,10207
2390209.0,458.8418,458.91,459.04,459.14,458.835,2023-12-08 17:45:00,11395
2403131.0,459.1923,459.04,459.4,459.4099,458.89,2023-12-08 18:00:00,10921
1203125.0,459.3391,459.4,459.45,459.59,459.1,2023-12-08 18:15:00,10274
1335642.0,459.3084,459.45,459.1199,459.5,459.05,2023-12-08 18:30:00,11519
1555370.0,459.389,459.12,459.4999,459.57,459.06,2023-12-08 18:45:00,9275
1574306.0,459.4033,459.5,459.715,459.785,459.44,2023-12-08 19:00:00,10208
1743316.0,459.622,459.71,459.93,459.98,459.67,2023-12-08 19:15:00,11663
1561507.0,460.0679,459.93,460.265,460.37,459.8,2023-12-08 19:30:00,13994
2108392.0,460.079,460.2525,460.3799,460.47,460.09,2023-12-08 19:45:00,15621
2293152.0,459.9394,460.38,460.23,460.44,459.9,2023-12-08 20:00:00,18152
2124624.0,460.2425,460.235,460.3807,460.44,460.02,2023-12-08 20:15:00,18708
4318794.0,460.2378,460.38,460.545,460.745,460.19,2023-12-08 20:30:00,28826
