timestamp,open,high,low,close
2025-06-27 16:00:00-04:00,614.79,614.91,614.2,614.52
2025-06-27 16:02:00-04:00,614.56,614.69,614.45,614.61
2025-06-27 16:04:00-04:00,614.61,614.62,614.36,614.5
2025-06-27 16:06:00-04:00,614.49,614.53,614.34,614.52
2025-06-27 16:08:00-04:00,614.5,614.59,614.46,614.51
2025-06-27 16:10:00-04:00,614.54,614.5989,614.41,614.58
2025-06-27 16:12:00-04:00,614.54,614.54,614.4,614.45
2025-06-27 16:14:00-04:00,614.42,614.53,614.33,614.5
2025-06-27 16:16:00-04:00,614.46,614.5,614.36,614.48
2025-06-27 16:18:00-04:00,614.451,614.55,614.44,614.46
2025-06-27 16:20:00-04:00,614.45,614.51,614.45,614.48
2025-06-27 16:22:00-04:00,614.5,614.5,614.35,614.36
2025-06-27 16:24:00-04:00,614.35,614.35,614.28,614.33
2025-06-27 16:26:00-04:00,614.34,614.38,614.19,614.32
2025-06-27 16:28:00-04:00,614.3001,614.3199,614.19,614.28
2025-06-27 16:30:00-04:00,614.28,614.5,614.28,614.49
2025-06-27 16:32:00-04:00,614.5499,614.61,614.47,614.52
2025-06-27 16:34:00-04:00,614.51,614.53,614.4,614.45
2025-06-27 16:36:00-04:00,614.45,614.46,614.38,614.43
2025-06-27 16:38:00-04:00,614.3713,614.5,614.3713,614.49
2025-06-27 16:40:00-04:00,614.46,614.51,614.41,614.44
2025-06-27 16:42:00-04:00,614.47,614.47,614.39,614.4
2025-06-27 16:44:00-04:00,614.43,614.46,614.28,614.29
2025-06-27 16:46:00-04:00,614.28,614.411,614.28,614.41
2025-06-27 16:48:00-04:00,614.39,614.49,614.38,614.49
2025-06-27 16:50:00-04:00,614.5499,614.55,614.43,614.48
2025-06-27 16:52:00-04:00,614.52,614.68,614.49,614.5
2025-06-27 16:54:00-04:00,614.51,614.6,614.44,614.44
2025-06-27 16:56:00-04:00,614.5,614.6,614.5,614.58
2025-06-27 16:58:00-04:00,614.5,614.61,614.45,614.61
2025-06-27 17:00:00-04:00,614.62,614.62,614.62,614.62
2025-06-27 17:02:00-04:00,614.47,614.47,614.4002,614.45
2025-06-27 17:04:00-04:00,614.43,614.43,614.36,614.39
2025-06-27 17:06:00-04:00,614.4,614.47,614.3059,614.47
2025-06-27 17:08:00-04:00,614.49,614.5,614.41,614.5
2025-06-27 17:10:00-04:00,614.5,614.5,614.48,614.5
2025-06-27 17:12:00-04:00,614.5,614.5,614.47,614.5
2025-06-27 17:14:00-04:00,614.5,614.5,614.48,614.5
2025-06-27 17:16:00-04:00,614.5,614.51,614.49,614.5
2025-06-27 17:18:00-04:00,614.49,614.5,614.3,614.47
2025-06-27 17:20:00-04:00,614.47,614.51,614.47,614.5
2025-06-27 17:22:00-04:00,614.51,614.51,614.49,614.51
2025-06-27 17:24:00-04:00,614.5,614.51,614.5,614.5
2025-06-27 17:26:00-04:00,614.5,614.5,614.5,614.5
2025-06-27 17:28:00-04:00,614.47,614.47,614.4,614.4
2025-06-27 17:30:00-04:00,614.38,614.38,614.31,614.34
2025-06-27 17:32:00-04:00,614.33,614.35,614.33,614.35
2025-06-27 17:34:00-04:00,614.31,614.32,614.3,614.3
2025-06-27 17:36:00-04:00,614.31,614.35,614.3,614.3
2025-06-27 17:38:00-04:00,614.3,614.3,614.2,614.2
2025-06-27 17:42:00-04:00,614.24,614.2484,614.24,614.2484
2025-06-27 17:44:00-04:00,614.2,614.2,614.2,614.2
2025-06-27 17:46:00-04:00,614.2403,614.2403,614.2403,614.2403
2025-06-27 17:50:00-04:00,614.26,614.26,614.2,614.2
2025-06-27 17:52:00-04:00,614.19,614.25,614.12,614.12
2025-06-27 17:56:00-04:00,614.1601,614.1601,614.1601,614.1601
2025-06-27 17:58:00-04:00,614.24,614.25,614.24,614.24
2025-06-27 18:00:00-04:00,614.23,614.23,614.23,614.23
2025-06-27 18:02:00-04:00,614.22,614.25,614.22,614.25
2025-06-27 18:04:00-04:00,614.24,614.2496,614.23,614.2496
2025-06-27 18:06:00-04:00,614.24,614.25,614.24,614.25
2025-06-27 18:10:00-04:00,614.3928,614.3928,614.3928,614.3928
2025-06-27 18:12:00-04:00,614.3882,614.3882,614.3882,614.3882
2025-06-27 18:14:00-04:00,614.29,614.29,614.19,614.19
2025-06-27 18:16:00-04:00,614.19,614.2,614.16,614.16
2025-06-27 18:18:00-04:00,614.24,614.24,614.24,614.24
2025-06-27 18:22:00-04:00,614.21,614.34,614.15,614.2
2025-06-27 18:24:00-04:00,614.19,614.2,614.14,614.14
2025-06-27 18:26:00-04:00,614.13,614.19,614.13,614.15
2025-06-27 18:28:00-04:00,614.15,614.15,614.1,614.1
2025-06-27 18:30:00-04:00,614.1,614.1,613.96,614.0
2025-06-27 18:32:00-04:00,613.94,613.97,613.8901,613.9
2025-06-27 18:34:00-04:00,613.9,613.9,613.81,613.81
2025-06-27 18:36:00-04:00,613.79,613.79,613.6,613.66
2025-06-27 18:38:00-04:00,613.66,613.66,613.5101,613.5101
2025-06-27 18:40:00-04:00,613.59,613.59,613.5699,613.58
2025-06-27 18:42:00-04:00,613.59,613.59,613.47,613.48
2025-06-27 18:44:00-04:00,613.48,613.48,613.31,613.35
2025-06-27 18:46:00-04:00,613.35,613.48,613.29,613.47
2025-06-27 18:48:00-04:00,613.47,613.48,613.47,613.48
2025-06-27 18:50:00-04:00,613.49,613.49,613.4325,613.48
2025-06-27 18:52:00-04:00,613.48,613.48,613.4799,613.4799
2025-06-27 18:54:00-04:00,613.47,613.47,613.34,613.35
2025-06-27 18:56:00-04:00,613.25,613.25,613.2,613.2
2025-06-27 18:58:00-04:00,613.1978,613.2,613.18,613.2
2025-06-27 19:00:00-04:00,613.2,613.23,613.1501,613.16
2025-06-27 19:02:00-04:00,613.15,613.15,612.86,613.0
