volume,vw,open,close,high,low,timestamp,n,timestamp.1,EMA_13,EMA_48,EMA_200
381413.0,507.3409,507.15,507.43,507.54,507.1,1709672400000,1381.0,2024-03-05 16:00:00-05:00,507.43,507.43,507.43
1088597.0,507.2911,507.47,507.47,507.51,507.095,1709672520000,497.0,2024-03-05 16:02:00-05:00,507.4357142857143,507.4316326530612,507.4303980099503
351536.0,507.5822,507.47,507.66,507.6899,507.44,1709672640000,351.0,2024-03-05 16:04:00-05:00,507.4677551020409,507.4409537692628,507.4326826068662
155483.0,507.605,507.67,507.53,507.8,507.33,1709672760000,584.0,2024-03-05 16:06:00-05:00,507.4766472303208,507.4445883092928,507.4336509391362
81265.0,507.5036,507.54,507.58,507.58,507.44,1709672880000,292.0,2024-03-05 16:08:00-05:00,507.4914119117035,507.4501153170768,507.4351071486971
78434.0,507.5114,507.58,507.54,507.59,507.43,1709673000000,406.0,2024-03-05 16:10:00-05:00,507.4983530671745,507.45378407964506,507.4361508586603
57067.0,507.5755,507.59,507.59,507.73,507.58,1709673120000,247.0,2024-03-05 16:12:00-05:00,507.5114454861496,507.4593439131289,507.4376816958876
99488.0,507.4415,507.58,507.63,507.68,507.0844,1709673240000,336.0,2024-03-05 16:14:00-05:00,507.5283818452711,507.4663094676951,507.4395953108539
710832.0,507.2091,507.64,507.58,507.64,507.52,1709673360000,535.0,2024-03-05 16:16:00-05:00,507.53575586737526,507.47094989758506,507.4409923724375
45257.0,507.5025,507.52,507.48,507.55,507.47,1709673480000,279.0,2024-03-05 16:18:00-05:00,507.52779074346455,507.4713192895203,507.4413805080352
39500.0,507.5099,507.4799,507.53,507.54,507.4799,1709673600000,216.0,2024-03-05 16:20:00-05:00,507.52810635154106,507.4737144205602,507.4422622940249
92352.0,507.284,507.52,507.53,507.55,507.52,1709673720000,166.0,2024-03-05 16:22:00-05:00,507.5283768727495,507.4760117911496,507.4431353060247
32484.0,507.5603,507.52,507.56,507.59,507.52,1709673840000,156.0,2024-03-05 16:24:00-05:00,507.5328944623568,507.4794398813068,507.4442981388006
40147.0,507.5945,507.59,507.55,507.61,507.55,1709673960000,134.0,2024-03-05 16:26:00-05:00,507.5353381105916,507.48231988615134,507.44534989861353
16495.0,507.5476,507.54,507.54,507.57,507.54,1709674080000,91.0,2024-03-05 16:28:00-05:00,507.5360040947928,507.4846741765125,507.4462916906671
61792.0,507.4865,507.53,507.44,507.55,507.44,1709674200000,269.0,2024-03-05 16:30:00-05:00,507.52228922410814,507.48285074073647,507.4462290867799
28119.0,507.4519,507.44,507.46,507.49,507.43,1709674320000,116.0,2024-03-05 16:32:00-05:00,507.5133907635213,507.4819180574411,507.4463661107921
14578.0,507.4417,507.46,507.44,507.46,507.44,1709674440000,93.0,2024-03-05 16:34:00-05:00,507.50290636873257,507.48020711632097,507.4463027664062
4907.0,507.4538,507.45,507.49,507.49,507.44,1709674560000,67.0,2024-03-05 16:36:00-05:00,507.5010626017708,507.4806068258589,507.4467375647504
6476.0,507.5434,507.5,507.57,507.57,507.5,1709674680000,65.0,2024-03-05 16:38:00-05:00,507.51091080151787,507.48425552684415,507.4479640566435
13470.0,507.5421,507.5601,507.5,507.57,507.46,1709674800000,105.0,2024-03-05 16:40:00-05:00,507.5093521155868,507.4848981584015,507.4484818272242
12523.0,507.5061,507.49,507.54,507.54,507.49,1709674920000,81.0,2024-03-05 16:42:00-05:00,507.5137303847887,507.4871472131606,507.44939245580906
26266.0,507.5773,507.52,507.62,507.62,507.52,1709675040000,110.0,2024-03-05 16:44:00-05:00,507.5289117583904,507.4925697758888,507.4510900433135
15120.0,507.573,507.55,507.59,507.6,507.52,1709675160000,69.0,2024-03-05 16:46:00-05:00,507.5376386500489,507.49654651973,507.4524722319373
18798.0,507.6142,507.58,507.63,507.64,507.57,1709675280000,115.0,2024-03-05 16:48:00-05:00,507.5508331286133,507.5019936005573,507.4542386773906
27169.0,507.6483,507.63,507.68,507.68,507.62,1709675400000,92.0,2024-03-05 16:50:00-05:00,507.5692855388114,507.5092591678815,507.4564850587101
12053.0,507.7066,507.68,507.72,507.73,507.68,1709675520000,76.0,2024-03-05 16:52:00-05:00,507.5908161761241,507.5178608344986,507.45910709792696
6145.0,507.7107,507.72,507.73,507.73,507.6699,1709675640000,49.0,2024-03-05 16:54:00-05:00,507.610699579535,507.5265195759476,507.4618025496889
3056.0,507.7208,507.73,507.7101,507.73,507.71,1709675760000,58.0,2024-03-05 16:56:00-05:00,507.62489963960144,507.5340126544803,507.464273171085
2946.0,507.7011,507.71,507.71,507.71,507.68,1709675880000,44.0,2024-03-05 16:58:00-05:00,507.6370568339441,507.5411958114403,507.4667182141589
9931.0,507.676,507.71,507.7,507.71,507.67,1709676000000,50.0,2024-03-05 17:00:00-05:00,507.6460487148093,507.5476776150549,507.46903942595833
1713.0,507.6975,507.7,507.6901,507.7,507.69,1709676360000,38.0,2024-03-05 17:06:00-05:00,507.6523417555508,507.5534907736241,507.47123903366025
915.0,507.6742,507.68,507.65,507.68,507.65,1709676600000,29.0,2024-03-05 17:10:00-05:00,507.6520072190435,507.557429925721,507.4730177497432
12526.0,507.7047,507.68,507.73,507.73,507.68,1709676720000,45.0,2024-03-05 17:12:00-05:00,507.6631490448945,507.56447360222217,507.47557478705926
486.0,507.7067,507.72,507.73,507.73,507.72,1709676840000,19.0,2024-03-05 17:14:00-05:00,507.6726991813382,507.5712297817233,507.4781063812179
2592.0,507.6829,507.73,507.73,507.73,507.66,1709676960000,37.0,2024-03-05 17:16:00-05:00,507.6808850125756,507.5777101987957,507.48061278538495
