volume,vw,open,close,high,low,timestamp,n
63750.0,593.3662,593.68,593.29,593.68,593.19,2024-11-22 13:30:00,746
62953.0,593.3762,593.35,593.38,593.55,593.2008,2024-11-22 13:45:00,676
42624.0,593.4322,593.38,593.5,593.6,593.24,2024-11-22 14:00:00,725
126516.0,593.5262,593.5,593.64,593.72,593.17,2024-11-22 14:15:00,1293
3194193.0,594.6481,593.66,595.58,595.78,593.57,2024-11-22 14:30:00,28412
2009743.0,595.4796,595.61,595.97,596.131,594.69,2024-11-22 14:45:00,20431
1426438.0,594.8317,595.94,594.46,596.01,593.92,2024-11-22 15:00:00,24017
1066736.0,594.1933,594.46,593.67,594.9,593.1525,2024-11-22 15:15:00,15468
869226.0,594.5289,593.78,595.52,595.52,593.5901,2024-11-22 15:30:00,14163
1514155.0,594.4097,595.48,595.76,595.82,595.01,2024-11-22 15:45:00,10082
680727.0,595.273,595.79,594.75,595.8965,594.6001,2024-11-22 16:00:00,10935
1270050.0,594.1279,594.7697,594.59,594.89,593.71,2024-11-22 16:15:00,12493
842523.0,594.3447,594.57,594.0349,594.92,593.96,2024-11-22 16:30:00,9474
565768.0,594.6644,594.115,595.04,595.1699,593.92,2024-11-22 16:45:00,9068
627592.0,595.3035,595.05,595.56,595.72,594.71,2024-11-22 17:00:00,9239
658915.0,595.5767,595.59,595.61,595.88,595.33,2024-11-22 17:15:00,9497
545710.0,595.0976,595.61,595.24,595.65,594.66,2024-11-22 17:30:00,9405
426475.0,595.5941,595.25,595.7299,595.85,595.14,2024-11-22 17:45:00,7813
876623.0,595.7693,595.69,595.9,596.15,595.465,2024-11-22 18:00:00,8994
482486.0,595.7822,595.92,595.52,596.06,595.41,2024-11-22 18:15:00,7558
505701.0,595.5271,595.52,595.285,595.97,595.13,2024-11-22 18:30:00,8790
1121184.0,594.9875,595.285,595.43,595.58,594.9001,2024-11-22 18:45:00,7882
820324.0,595.1305,595.44,594.91,595.44,594.8,2024-11-22 19:00:00,7912
1191434.0,594.3892,594.91,594.99,595.185,594.15,2024-11-22 19:15:00,10489
871146.0,594.7339,594.99,595.14,595.42,594.89,2024-11-22 19:30:00,8133
